id,vevo,nOsszeg,fizhat,kibocsajto,ip_address
101,Realmix,46789,agantlett2s@nydailynews.com,Plajo,150.109.255.146
102,Gigabox,187673,hbeamiss2t@google.ru,Photobug,80.138.70.171
103,Twitterworks,161023,dkleinpeltz2u@chicagotribune.com,Kazu,64.72.122.161
104,Abatz,6596,dpuddifer2v@livejournal.com,Rhycero,139.126.137.189
105,Mynte,70311,gderges2w@stumbleupon.com,Trilia,18.233.119.102
106,Flashpoint,100728,lwellman2x@pen.io,Flipstorm,214.114.39.55
107,Meedoo,112668,mcolston2y@woothemes.com,Aivee,136.79.7.7
108,Linklinks,67945,ldible2z@usa.gov,Jabbersphere,177.191.148.237
109,Tagfeed,209779,ejustun30@state.gov,Vidoo,130.123.90.93
110,Skipstorm,76964,sforre31@ask.com,Wordify,175.194.169.117
111,Lazz,83850,msketcher32@msu.edu,Devpulse,40.92.161.115
112,Chatterpoint,247165,eleghorn33@nbcnews.com,Browsedrive,169.52.155.185
113,Tambee,104844,ktoolin34@xing.com,Trudeo,174.147.188.111
114,Oozz,169130,vbetancourt35@ted.com,Tazz,115.121.182.158
115,Izio,238294,psoan36@chicagotribune.com,Meetz,106.2.93.128
116,Skynoodle,39121,gnolin37@google.com,Quire,29.176.73.46
117,Rhynyx,227116,dcrofthwaite38@eepurl.com,Realmix,36.98.154.55
118,Podcat,165757,sduthie39@w3.org,Jaloo,150.4.67.234
119,Skajo,76181,bspargo3a@opera.com,Kaymbo,196.124.202.164
120,Thoughtsphere,236515,aoxborough3b@berkeley.edu,Yabox,94.219.188.4
121,Youspan,16350,sflipek3c@mit.edu,Kaymbo,194.122.72.67
122,Vipe,161818,llerwell3d@walmart.com,Babbleopia,235.60.80.135
123,Zoomdog,196239,cbritzius3e@weebly.com,Minyx,209.255.84.19
124,Voonte,107998,galdous3f@ameblo.jp,Kaymbo,203.107.76.63
125,Edgetag,229789,dboynes3g@netvibes.com,Leenti,153.48.34.204
126,Eidel,9738,cfido3h@so-net.ne.jp,Thoughtmix,177.223.248.83
127,Quaxo,186449,rclubley3i@plala.or.jp,Npath,154.10.235.54
128,Fivebridge,17465,alawrenceson3j@answers.com,Photofeed,40.136.101.133
129,Gevee,201601,cmarcq3k@opera.com,Realcube,187.138.78.177
130,Wikizz,222627,goxshott3l@dell.com,Dablist,38.145.202.134
131,Brainsphere,70784,hbelamy3m@cpanel.net,Voonder,23.141.111.233
132,Zoomzone,120175,nbernadon3n@webnode.com,Realcube,174.133.33.224
133,Geba,95094,mwheeler3o@wsj.com,Jetwire,236.90.184.184
134,Jazzy,65171,rnannoni3p@vkontakte.ru,Camido,94.248.93.107
135,Bluejam,12765,gpickover3q@wikia.com,Feedspan,14.238.12.139
136,Skiba,150270,fwarman3r@infoseek.co.jp,Abatz,214.100.56.104
137,Meevee,8263,cbattram3s@tuttocitta.it,Babbleopia,25.191.232.113
138,Cogibox,74821,namerici3t@slashdot.org,Kazio,75.29.82.82
139,Skinix,167633,mpavlenkov3u@state.gov,Voonte,112.185.183.90
140,Avaveo,130239,eadrienne3v@yellowbook.com,Quaxo,191.28.116.93
141,Camimbo,157013,jpeyro3w@answers.com,Divanoodle,176.92.162.116
142,Innojam,78513,wvayro3x@ibm.com,Buzzbean,31.45.0.36
143,Skilith,120925,rholtham3y@quantcast.com,Vipe,130.235.210.241
144,Yakidoo,34492,hbernth3z@de.vu,Buzzdog,165.179.210.190
145,Yodo,176118,hspencer40@posterous.com,Photospace,169.27.7.223
146,Jaxspan,237673,gwoodcock41@bing.com,Jetpulse,115.99.205.215
147,Kwilith,21076,lheggadon42@chicagotribune.com,Trupe,153.226.165.227
148,Edgewire,114248,wdupree43@umich.edu,Realpoint,248.249.84.37
149,Thoughtblab,103876,mdows44@behance.net,Thoughtstorm,146.176.101.125
150,Tanoodle,23860,bhindenberger45@dagondesign.com,Gigabox,247.232.24.75
151,Skinder,221335,gshakespeare46@twitpic.com,Einti,56.77.9.70
152,Trupe,25911,imctaggart47@ucoz.ru,Eadel,86.35.42.209
153,Eamia,196925,fison48@cocolog-nifty.com,Jaxbean,146.13.114.44
154,Einti,80797,oabeles49@last.fm,Avamba,229.49.193.19
155,Twitternation,91629,cmithun4a@psu.edu,Ntags,71.38.181.155
156,Yotz,86367,hdewane4b@is.gd,Skimia,228.180.138.22
157,Camimbo,210021,mshulver4c@alexa.com,Jabbercube,38.238.12.102
158,Tagpad,21819,bmcmains4d@creativecommons.org,Eabox,38.86.131.1
159,Meemm,64169,adurrell4e@imdb.com,Zazio,42.195.221.194
160,Plajo,145540,jwickwar4f@list-manage.com,Rhyzio,192.54.39.147
161,Wikivu,18604,msowten4g@upenn.edu,Pixope,245.13.71.157
162,Trilia,151625,pwaycot4h@over-blog.com,Rhynyx,145.96.117.34
163,Roomm,99034,npetrina4i@senate.gov,Eadel,91.71.154.211
164,Blogtags,241277,kkilsby4j@woothemes.com,Photobean,61.118.145.34
165,Mudo,52668,gjillard4k@quantcast.com,Zoonder,25.90.244.69
166,Wikizz,60044,seyres4l@imageshack.us,Skilith,125.114.189.156
167,Rhybox,46413,bbrozek4m@wiley.com,Dabjam,84.1.58.61
168,Babblestorm,28086,mhiggan4n@ucoz.ru,Viva,205.66.32.49
169,Topiclounge,132100,tpatnelli4o@businesswire.com,Flashpoint,118.171.181.111
170,Blogpad,7549,mnosworthy4p@360.cn,Topdrive,237.17.245.138
171,Skilith,205633,rjamary4q@mtv.com,Npath,55.144.45.243
172,Babbleset,135341,tgrigoire4r@ezinearticles.com,Linklinks,233.74.231.172
173,Camido,17645,sheeley4s@unc.edu,Realpoint,23.83.174.4
174,Bubblebox,20305,ashannahan4t@upenn.edu,Skajo,239.48.27.44
175,Feedspan,225980,maveray4u@photobucket.com,Wikivu,94.144.231.230
176,Meezzy,139474,litzcovichch4v@businessweek.com,Yata,177.84.218.207
177,Skipfire,79525,aeve4w@bing.com,Reallinks,72.37.154.192
178,Meembee,152483,bhumburton4x@ezinearticles.com,Zoombeat,205.64.243.22
179,Zoonder,137257,awatterson4y@altervista.org,Kimia,24.115.125.52
180,Zooxo,34835,hcorrison4z@ucoz.ru,Skinte,163.12.42.129
181,Twitterwire,112745,ldoghartie50@independent.co.uk,Linktype,220.206.194.206
182,Blogtags,211711,egibbings51@ucoz.com,Gabvine,170.58.228.94
183,Twinte,111896,flukehurst52@tinyurl.com,Aivee,148.127.37.15
184,Tazz,178708,mlarenson53@dedecms.com,Devpoint,86.218.255.5
185,Voonder,50822,cstains54@123-reg.co.uk,Centimia,181.29.247.154
186,Photolist,127586,jgerardot55@wordpress.org,Photofeed,156.16.191.50
187,Edgeclub,170131,bjacop56@discovery.com,Skaboo,208.49.195.161
188,Shufflebeat,142023,dzaniolo57@barnesandnoble.com,Fanoodle,70.44.8.108
189,Kare,30356,iellgood58@wsj.com,Nlounge,14.158.73.236
190,Topicstorm,92245,hgodspede59@cisco.com,Babbleset,8.165.96.230
191,Edgepulse,34764,tgarthshore5a@weather.com,Chatterpoint,101.71.65.223
192,Gabspot,46127,mtabbernor5b@scientificamerican.com,Jabberstorm,151.143.240.204
193,Lajo,107378,esmeeton5c@google.fr,Thoughtbeat,143.59.178.53
194,Trudeo,157036,xjervois5d@yellowbook.com,Jatri,42.31.119.28
195,Demivee,202080,hmanktelow5e@ebay.com,Dabtype,62.0.161.0
196,Avamba,57534,askerratt5f@google.ca,Eidel,187.79.112.43
197,Edgetag,54630,jtewkesbury5g@slate.com,Skiba,174.26.164.46
198,Thoughtbeat,171544,aaxston5h@state.gov,Dynava,167.59.176.128
199,Kwinu,55274,fgrealey5i@google.com.au,Yodo,16.93.55.4
200,Riffpedia,246645,dholleran5j@latimes.com,Brainlounge,226.78.89.229
201,Kayveo,121868,mantham5k@admin.ch,Jaxbean,162.3.70.173
202,Avavee,82097,elagen5l@cbc.ca,Thoughtsphere,239.221.3.81
203,Kare,147930,ggianotti5m@nih.gov,Dynabox,13.48.232.164
204,Dynazzy,44002,fcardoe5n@discovery.com,Mybuzz,79.156.150.171
205,Realcube,210467,vnaden5o@businesswire.com,Chatterbridge,49.162.223.53
206,Agimba,212549,earbuckle5p@nyu.edu,Rhybox,82.7.225.170
207,Yakijo,145644,jforsythe5q@pen.io,Jabbercube,134.222.219.126
208,Abata,207225,bpays5r@washingtonpost.com,Flashpoint,82.38.210.95
209,Roodel,228498,kroman5s@columbia.edu,Vitz,174.175.248.47
210,Npath,165315,dmckague5t@sourceforge.net,Lazz,246.178.7.152
211,Ooba,184325,kcolumbell5u@accuweather.com,Feedbug,248.222.43.12
212,Livetube,48492,lkidsley5v@mac.com,Buzzshare,186.40.160.159
213,Skinix,123004,kloche5w@blog.com,Edgewire,1.255.134.43
214,Cogibox,110036,ojanse5x@marriott.com,Vitz,79.29.112.5
215,Youfeed,189864,nmacdaid5y@shinystat.com,Aivee,43.204.167.217
216,Linklinks,72665,aholdin5z@dmoz.org,Lazzy,165.214.63.54
217,Rhycero,36514,oalebrooke60@reddit.com,Latz,205.133.158.25
218,Trilia,47499,tpetronis61@blinklist.com,Dabjam,208.36.84.242
219,Roodel,200872,lgoman62@archive.org,Yodo,108.68.136.74
220,Oodoo,109765,agoodbody63@go.com,Digitube,93.20.72.228
221,Gigashots,228078,bdjurkovic64@linkedin.com,Mita,141.140.81.240
222,Youspan,168646,mtreacy65@cam.ac.uk,Riffpath,77.154.219.95
223,Voonyx,202736,nweeds66@wix.com,Thoughtblab,232.140.167.190
224,Trunyx,8469,rewers67@reuters.com,Wikibox,186.158.187.1
225,Blogspan,139901,telsmore68@vk.com,Meedoo,72.34.135.125
226,Jaloo,195929,ubranton69@eventbrite.com,Feedfish,188.80.156.168
227,Avaveo,43046,bhamblington6a@wired.com,Browsedrive,86.187.230.21
228,Brainlounge,175097,lshelly6b@npr.org,Twitterbridge,78.7.0.55
229,Avavee,241346,ojudkins6c@disqus.com,Gabspot,141.131.48.123
230,Centidel,227777,kclemson6d@discuz.net,Talane,68.227.154.110
231,Layo,161957,tesche6e@amazon.co.uk,Kamba,173.242.160.192
232,Jabberstorm,115140,mdelicate6f@ted.com,Kayveo,148.154.162.216
233,Fatz,201648,ajeandet6g@skyrock.com,Jabbercube,213.156.219.140
234,Twitterbridge,92937,giacomini6h@jimdo.com,Gigazoom,74.202.182.86
235,Blognation,71272,rdacre6i@wunderground.com,Skipstorm,166.112.241.44
236,Skimia,91223,amackartan6j@forbes.com,Kimia,184.84.121.15
237,Dynabox,38523,lvasilyevski6k@usa.gov,Youfeed,142.26.110.65
238,Gabtune,201447,wdimmack6l@odnoklassniki.ru,Browsecat,8.176.231.3
239,Meetz,199799,dthompkins6m@e-recht24.de,Roombo,213.57.154.231
240,Wordpedia,237039,sromke6n@qq.com,Feednation,85.21.8.185
241,Eadel,239785,fmacgillreich6o@people.com.cn,Aimbo,50.232.48.175
242,Dablist,95668,apetrenko6p@deliciousdays.com,Browsezoom,179.65.187.114
243,Photospace,113068,btruckett6q@answers.com,Oloo,31.241.8.177
244,Mita,247564,tgutans6r@hexun.com,Quimba,74.34.134.30
245,Browsetype,68306,ngallyon6s@engadget.com,Skyba,163.252.15.24
246,Zoomzone,23044,wglencross6t@un.org,Mydeo,58.220.187.113
247,Dabjam,249632,ebaglin6u@networksolutions.com,Blogtags,1.176.88.164
248,Quire,5533,asambrok6v@hhs.gov,Youtags,78.102.81.29
249,Livetube,132318,mhansom6w@quantcast.com,Centizu,21.54.104.235
250,Zoonder,201392,flinggard6x@bloglovin.com,Jabbersphere,215.128.215.196
251,Gabtune,152973,acockings6y@unblog.fr,Voonte,91.135.142.27
252,Yoveo,53170,mlamplough6z@cnbc.com,Youfeed,119.193.137.118
253,Oyoba,57694,arhydderch70@diigo.com,Yotz,102.30.190.65
254,Tambee,215655,ncossington71@list-manage.com,Roodel,75.255.53.174
255,Shuffletag,71478,pnancarrow72@indiegogo.com,Jetpulse,156.154.244.72
256,Shuffletag,190203,bdellar73@lulu.com,Twinder,167.68.173.196
257,Skinder,14855,lelement74@51.la,Fanoodle,143.41.235.100
258,Tambee,113795,aeldred75@admin.ch,Wordify,186.246.53.137
259,Yombu,12765,tbalk76@opensource.org,Teklist,14.142.224.232
260,Innotype,123626,cdomoni77@netvibes.com,Blogpad,16.169.38.205
261,Yoveo,42189,tsunnucks78@slideshare.net,Browsezoom,45.63.127.44
262,Jabbersphere,18625,zkunes79@ning.com,Divavu,63.237.14.255
263,Rooxo,50072,hcawker7a@hp.com,Kamba,228.113.86.227
264,Einti,114293,bmilburne7b@wired.com,Gabspot,137.135.159.19
265,Avamm,154049,jferrai7c@123-reg.co.uk,Twitternation,138.136.155.233
266,Livefish,132166,bbartos7d@woothemes.com,Cogilith,41.101.163.248
267,Riffpedia,216422,molland7e@cloudflare.com,Yombu,13.39.158.60
268,Twitterworks,226683,svigus7f@pbs.org,Mydo,224.193.3.238
269,Quinu,17950,alemmens7g@feedburner.com,Ailane,210.213.238.112
270,Mynte,223482,ecavan7h@printfriendly.com,Layo,183.59.56.25
271,Mydo,29782,mmolines7i@google.ca,Camido,211.127.9.181
272,Twiyo,199073,dosgardby7j@google.ru,Brainverse,20.85.174.182
273,Eamia,205477,epabst7k@dmoz.org,Feedspan,99.103.54.14
274,Quinu,94960,bbulman7l@google.ru,Vidoo,195.64.33.54
275,Linktype,92139,vbuche7m@webs.com,BlogXS,148.33.135.129
276,Realbridge,180839,ncuerdall7n@abc.net.au,Tagpad,143.175.65.11
277,Twitterworks,84119,mrablen7o@nationalgeographic.com,Trilith,52.202.12.84
278,Zoomlounge,181883,ivalentelli7p@miibeian.gov.cn,Tekfly,171.37.239.147
279,Teklist,60334,mknightsbridge7q@sourceforge.net,Nlounge,120.102.182.14
280,Tagpad,170513,oburchell7r@ebay.com,Fivebridge,3.92.109.174
281,Ailane,63372,dstainson7s@spiegel.de,Youfeed,254.0.160.142
282,Gigaclub,28434,gkynan7t@yelp.com,Trilith,125.7.227.242
283,Zoomdog,66534,nklaves7u@vinaora.com,Brainsphere,92.231.44.68
284,Feednation,199995,odanilovich7v@kickstarter.com,Rhybox,41.156.144.28
285,Innojam,57760,jgiamo7w@wordpress.com,Fivespan,51.137.254.38
286,Tazz,49141,wkegg7x@seesaa.net,Mycat,70.188.80.207
287,Chatterpoint,139386,ttysall7y@cdc.gov,Riffwire,67.45.77.202
288,Vidoo,84069,cenevold7z@indiegogo.com,Skidoo,99.197.116.193
289,Rhynyx,166363,cschreiner80@purevolume.com,Jabbersphere,115.184.31.134
290,Miboo,126244,jsearson81@rediff.com,Brightdog,15.222.223.248
291,Shuffletag,2645,amacdearmaid82@livejournal.com,Blogtag,235.40.162.233
292,Trupe,153400,lweatherup83@studiopress.com,Tagcat,177.54.105.159
293,Realcube,122204,vtonna84@yellowbook.com,Jabbersphere,147.156.185.186
294,Npath,170097,hneilus85@latimes.com,Vitz,129.88.206.1
295,Jamia,114009,vleehane86@patch.com,Izio,3.183.145.238
296,Tagtune,22229,jaxe87@google.com,Centidel,202.121.156.133
297,Yadel,14189,lismead88@fc2.com,Centimia,148.132.15.60
298,Devshare,209376,nmaffei89@e-recht24.de,Mynte,175.103.37.206
299,Jaxspan,185802,idaborn8a@google.fr,Twitterlist,54.175.240.225
300,Kwinu,223663,ceschalette8b@paypal.com,Eare,34.12.54.80
301,Skimia,87752,asiddle8c@alibaba.com,Eimbee,199.172.36.190
302,Shufflebeat,194046,srean8d@vimeo.com,Gevee,169.97.80.173
303,Ntag,105767,cledingham8e@webnode.com,Yozio,202.29.247.205
304,Talane,94727,abarszczewski8f@intel.com,Fanoodle,216.94.15.75
305,Tagpad,219844,ltrevorrow8g@amazonaws.com,Topicshots,112.255.175.118
306,Gabvine,223141,zdash8h@fotki.com,Edgeify,85.32.252.70
307,Quimba,172222,skunc8i@ucsd.edu,Topdrive,62.213.190.210
308,Gigashots,187973,nwaslin8j@list-manage.com,Camido,137.73.238.68
309,Skiptube,134948,ncoleyshaw8k@time.com,Chatterbridge,184.78.246.218
310,Devbug,192630,hfones8l@surveymonkey.com,Jayo,103.6.240.244
311,Kamba,176009,aockenden8m@godaddy.com,Babbleblab,4.149.153.204
312,Yadel,150562,tbalchin8n@exblog.jp,Buzzdog,59.88.29.105
313,Flipbug,60196,clammiman8o@oracle.com,Avamba,225.245.203.159
314,Zoovu,189821,candreas8p@last.fm,Kimia,17.82.233.209
315,Jaxspan,107579,ksorley8q@geocities.jp,Photojam,97.42.107.209
316,Quaxo,66293,krevett8r@php.net,Yozio,178.255.193.140
317,Rhycero,204943,mdaviot8s@sciencedaily.com,Agivu,7.122.84.212
318,Avamm,63779,jblodgetts8t@people.com.cn,DabZ,246.142.51.35
319,Voolith,18205,rpurveys8u@nih.gov,Pixonyx,157.110.166.98
320,Edgetag,178389,ddobinson8v@naver.com,Quinu,79.7.35.4
321,Gigabox,94869,garmytage8w@boston.com,Omba,79.187.131.221
322,Divanoodle,134935,rsaunper8x@cnet.com,Browsetype,47.10.68.155
323,Edgeblab,201255,qzink8y@sohu.com,Zooveo,213.49.255.215
324,Eidel,43545,rfrancklyn8z@networksolutions.com,Vinder,115.3.126.179
325,Youbridge,8805,jolyet90@google.fr,Meeveo,136.238.40.91
326,Shufflester,189009,asheilds91@dedecms.com,Oyondu,133.135.128.135
327,Brainbox,194736,sfairholme92@scientificamerican.com,Bluejam,23.117.246.67
328,Dazzlesphere,139396,dkubiak93@sphinn.com,Dablist,12.172.58.225
329,Tazz,239011,ehughs94@boston.com,Jatri,61.234.48.244
330,Shufflester,52240,abarhims95@newsvine.com,BlogXS,1.49.145.153
331,Centidel,133713,vmagwood96@timesonline.co.uk,Kamba,65.2.244.165
332,Meeveo,65368,espellecy97@scientificamerican.com,Dynazzy,52.103.199.121
333,Latz,194923,tgiannazzo98@technorati.com,Rhyloo,81.183.207.245
334,Feedmix,134544,zwolffers99@merriam-webster.com,Gigabox,10.76.231.98
335,Trilia,134629,laleksankov9a@wordpress.org,Riffpath,204.165.152.126
336,Flashspan,140061,babthorpe9b@jigsy.com,Twimbo,254.1.206.91
337,Quinu,212453,mollivier9c@comsenz.com,Pixonyx,147.37.239.180
338,Thoughtsphere,145682,rcoxhead9d@naver.com,Abatz,167.178.250.240
339,Flipbug,134036,dlilford9e@over-blog.com,Blogpad,187.44.37.179
340,Ailane,103864,kbarkly9f@state.tx.us,DabZ,19.185.249.223
341,Dynabox,145125,ybowdler9g@youku.com,Aibox,92.165.18.128
342,Lazz,64738,mrignold9h@sun.com,Twitternation,56.102.251.39
343,Browseblab,112546,jsutty9i@forbes.com,Twinder,218.27.157.104
344,Jamia,97212,rbartolomeazzi9j@google.cn,Tagchat,157.92.106.238
345,Mydeo,55853,ylill9k@intel.com,Edgetag,166.95.211.56
346,Topicstorm,65660,tkempson9l@ca.gov,Eidel,115.56.79.204
347,Twimm,163849,ewride9m@patch.com,Centimia,40.99.95.93
348,Flipopia,49960,rpearmine9n@a8.net,Miboo,136.246.149.37
349,Kayveo,61010,kgross9o@constantcontact.com,Kwinu,100.151.37.108
350,Dabfeed,140467,rpenni9p@shutterfly.com,Zoovu,242.182.15.130
351,Photolist,75139,icoton9q@wordpress.com,Skyble,48.41.100.164
352,Eire,93408,kvaneev9r@clickbank.net,Buzzbean,220.205.114.226
353,Edgewire,181413,bshillinglaw9s@mit.edu,Feedfire,233.150.25.226
354,Agimba,228709,mriceards9t@discuz.net,Eare,234.184.133.154
355,Snaptags,239036,esalmon9u@uol.com.br,Izio,119.184.8.163
356,Gabtune,15225,gmurtell9v@google.es,Buzzster,134.74.220.188
357,Blognation,55747,mvasnetsov9w@qq.com,Wordtune,175.107.43.29
358,Oyondu,38926,sseago9x@edublogs.org,Babbleblab,246.192.124.17
359,Yacero,245960,glockley9y@chron.com,Oloo,21.110.4.99
360,Fanoodle,131303,jharome9z@edublogs.org,Flashpoint,197.38.194.127
361,Babbleblab,223622,mcaistora0@sciencedaily.com,Bubblebox,167.229.107.242
362,Tagtune,111448,kbarcka1@techcrunch.com,Yakijo,123.223.39.80
363,Lazzy,37833,mferria2@ibm.com,Voonte,227.247.80.166
364,Gevee,223639,jrothama3@aboutads.info,Oyonder,124.156.15.196
365,Vitz,133862,hogelbea4@washingtonpost.com,Dynava,20.188.88.63
